time,src,dst,proto,sport,dport,size,hex
13:00:25,192.168.75.41,172.64.155.209,UDP,64420,443,44,49016c892ec2cbd258836e102eb7cbd847c944b71de9acaf52785931dc85811d
13:00:25,172.64.155.209,192.168.75.41,UDP,443,64420,1200,46317fac30016a706110917dc02314e8b5cd5ad6a89d67748f66555d0d0f4c8c
13:00:25,172.64.155.209,192.168.75.41,UDP,443,64420,857,424f3a0c63cb7d2d90422011b68fb12ce9eda0a337e5a872eb6f8e725e193a25
13:00:25,192.168.75.41,172.64.155.209,UDP,64420,443,43,5f016c892ec2cbd258836e102eb7cbd847c944b71d45733e46bad2b56a05bf77
13:00:25,104.18.17.140,192.168.75.41,TCP,443,50673,31,170303001aaa4ebe142cd4bc0d906e63ec7dc412b9c9a6c0a32d142810203d
13:00:25,104.18.17.140,192.168.75.41,TCP,443,58930,31,170303001ac57846e5fbe47ead048220d8325f5d9c496ebd9c9df1d05ed499
13:00:25,192.168.75.41,104.18.17.140,TCP,50673,443,0,
13:00:25,192.168.75.41,104.18.17.140,TCP,58930,443,0,
13:00:26,104.18.17.140,192.168.75.41,TCP,443,60931,31,170303001a0c0ae05d307ae565a864557bb26e6dedf95c9c36225f58fdb0e9
13:00:26,192.168.75.41,104.18.17.140,TCP,60931,443,0,
13:00:26,104.18.17.140,192.168.75.41,TCP,443,50673,31,170303001a4dabe356b86a661291666d3ea66f853cfd4bb284749718cc1f01
13:00:26,104.18.17.140,192.168.75.41,TCP,443,58930,31,170303001a777ab0029bd33c66d3c0863da05eb17fa91f584f0cc2e3f1d4d2
13:00:26,192.168.75.41,104.18.17.140,TCP,58930,443,0,
13:00:26,192.168.75.41,104.18.17.140,TCP,50673,443,0,
13:00:27,104.18.17.140,192.168.75.41,TCP,443,60931,31,170303001a61e62c6759e32875b97790dcaacc607db904e281b577abf51888
13:00:27,23.206.175.56,192.168.75.41,TCP,443,54304,24,1703030013f25c7c796f736f4172bbe7a8874467a9661130
13:00:27,192.168.75.41,23.206.175.56,TCP,54304,443,28,17030300176b84c3bf37962eaea80ef4b7ce36cc308a75192cc41ee9
13:00:27,23.206.175.56,192.168.75.41,TCP,443,54304,6,000000000000
13:00:27,192.168.75.41,104.18.17.140,TCP,60931,443,0,
13:00:27,104.18.17.140,192.168.75.41,TCP,443,50673,31,170303001a6bc05ab89f2815008c1227f59c1563a8adf1e1bb7bdc2631383d
13:00:27,104.18.17.140,192.168.75.41,TCP,443,58930,31,170303001a2e7d2bae6e5e63cb363dd9ea4d571f251fbdd266fdebfb8ebd73
13:00:27,192.168.75.41,104.18.17.140,TCP,58930,443,0,
13:00:27,192.168.75.41,104.18.17.140,TCP,50673,443,0,
13:00:28,104.20.30.113,192.168.75.41,TCP,443,54946,38,1703030021f9fd36528f3b2074b295e15793fa120b2f9326aa15a5c6fc0bcdd5
13:00:28,192.168.75.41,104.20.30.113,TCP,54946,443,35,170303001e6e32cd096dd014b6b4e0b1178d61464a3c808095fd7ac4017a68bd
13:00:28,192.168.75.41,104.20.30.113,TCP,54946,443,35,170303001e92ef11be6135a88dd13ea52dc8183fda22cb934ad26a69f2218b4d
13:00:28,172.66.165.246,192.168.75.41,TCP,443,65279,35,170303001e4481b17ddfe5a2db07dbc7d92a5be3b5bba701008133c719f20b00
13:00:28,104.20.30.113,192.168.75.41,TCP,443,54946,6,000000000000
13:00:28,192.168.75.41,172.66.165.246,TCP,65279,443,0,
13:00:28,104.18.17.140,192.168.75.41,TCP,443,60931,31,170303001ab4de3ededd51ead9e0ec49fb3a8958af1792aa81c36352dd8612
13:00:28,192.168.75.41,104.18.17.140,TCP,60931,443,0,
13:00:28,104.18.17.140,192.168.75.41,TCP,443,50673,31,170303001a4eec75a363f662ffb272e19c673f37fe75dbaab666290b37b2cb
13:00:28,104.18.17.140,192.168.75.41,TCP,443,58930,31,170303001a96bc3f3580044e28b55a71e77d42212be70f5c7002c13dc0a2ef
13:00:28,192.168.75.41,104.18.17.140,TCP,50673,443,0,
13:00:28,192.168.75.41,104.18.17.140,TCP,58930,443,0,
13:00:28,192.168.75.41,3.34.73.107,TCP,59210,443,41,170303002400000000000005f221579474fc8014c4c3eab82f0ca6eadaedc7bb
13:00:28,3.34.73.107,192.168.75.41,TCP,443,59210,35,170303001e00000000000005f2a49195db04e71c232c68c2192486e86f218986
13:00:29,192.168.75.41,3.34.73.107,TCP,59210,443,0,
